FR,EN
année,year
il,it
cuisinier,cook
résisté,stood
huile,oil
chanter,sing
laisser,leave
partie,party
conception,design
bleu,blue
acheté,bought
venir,come
à,at
dit,said
nord,north
complète,complete
souhaiter,wish
histoire,history
sentir,feel
général,general
propriété,property
son,sound
terre,earth
coffre-fort,safe
tuer,kill
cours,course
terre,land
coton,cotton
rock,rock
accord,deal
cœur,heart
s’il vous plaît,please
Terminé,done
rêver,dream
récolte,crop
prendre,take
ne sera pas,won’t
siège,seat
cri,cry
boîte,box
parler,talk
regarder,watch
humain,human
opposé,opposite
particulier,particular
vapeur,steam
ennemi,enemy
continent…,continent
amusement,fun
construire,build
impression,print
sous,under
glace,ice
roue,wheel
bas,bottom
ni,nor
guerre,war
paire,pair
bruit,noise
passé,past
rouleau,roll
boutique,shop
région,region
soleil,sun
règle,rule
relier,connect
laisser,let
oreille,ear
pouce,inch
soldat,soldier
langue,language
vitesse,speed
au-dessus,above
trop,too
gagner,win
pierre,stone
tour,round
métal,metal
esprit,mind
droit,straight
ma,my
voyelle,vowel
voile,sail
puissance,power
pluie,rain
Voyage,travel
particulièrement,especially
plan,plane
doit,shall
mère,mother
planète,planet
devrait,should
rencontre,match
monde,world
esclave,slave
réel,real
écrit,wrote
poids,weight
garçon,boy
six,six
tous,all
plan,plan
dame,lady
parler,speak
étage,floor
chaque,either
attendre,expect
tirer,draw
rapide,fast
chanson,song
genre,kind
trou,hole
fin,end
spécial,special
jaune,yellow
heure,hour
début,start
cassé,broke
canard,duck
pluriel,plural
nouveau,new
pris,caught
finition,finish
enfants,children
groupe,group
baignade,swim
savait,knew
recherche,search
camp,camp
question,question
je,I
tour,turn
produire,produce
très,very
peindre,paint
forme,form
acte,act
semaine,week
vingt,twenty
cri,shout
vouloir,want
ne,does
commun,common
question,matter
seulement,only
multiplier,multiply
entendu,heard
lettre,letter
ou,or
aimant,magnet
lac,lake
père,father
entraînement,drive
capable,able
moteur,engine
nom,noun
lot,lot
de base,basic
en attente,held
marcher,walk
usine,plant
peur,afraid
haut,top
prêt,ready
possible,possible
radio,radio
centre,center
long,long
exiger,require
frais,cool
fracture,divide
écrire,write
atome,atom
plat,flat
inclure,include
substance,substance
tirer,pull
compétence,skill
comme,as
étudiant,student
volonté,will
habituel,usual
un,a
